Store_code,Store_name,Address,Region,Province,District,KM,Province_ID
243,AGI - 200 Tinh Lo 942,"Số 200 Đường Tỉnh Lộ 942, Thị trấn Mỹ Luông, Huyện Chợ Mới, Tỉnh An Giang",Mekong2,An Giang,Cho Moi,193,54
406,AGI - Nguyen Huu Canh,"Nguyễn Hữu Cảnh, Ấp Long Hòa, Thị Trấn Chợ Mới, Huyện Chợ Mới, Tỉnh An Giang",Mekong2,An Giang,Cho Moi,205,54
548,AGI - 3855 - 3857 BẠCH ĐẰNG,"3855 - 3857 Đường Bạch Đằng, Ấp An Hưng, Thị trấn An Phú, Huyện An Phú, Tỉnh An Giang",Mekong2,An Giang,An Phu,268,54
134,AGI - 112 Nguyen Van Thoai,"112 Nguyễn Văn Thoại, Khóm 6, P. Châu Phú A, TP. Châu Đốc, An Giang",Mekong2,An Giang,Chau Doc,257,54
396,AGI - 5-5A-7 Nguyen Tri Phuong,"5-5A-7 Nguyễn Tri Phương, Tổ 10, Khóm Hoà Bình, Phường Vĩnh Mỹ, TP Châu Đốc, Tỉnh An Giang",Mekong2,An Giang,Chau Doc,256,54
360,AGI - Le Loi,"Lê Lợi, P.Châu Phú B, Tp.Châu Đốc, An Giang.",Mekong2,An Giang,Chau Doc,256,54
104,AGI - 2/5 Ton Duc Thang,"2/5 Tôn Đức Thắng, F Mỹ Bình, TP Long Xuyên, An Giang.",Mekong2,An Giang,Long Xuyen,203,54
125,AGI - 221/7 Ha Hoang Ho,"221/7 Hà Hoàng Hổ, Phường Mỹ Xuyên, TP. Long Xuyên, An Giang",Mekong2,An Giang,Long Xuyen,202,54
231,AGI - 315/4 Tran Hung Dao,"315/4 Trần Hưng Đạo, Phường Mỹ Long, TP Long Xuyên, An Giang.",Mekong2,An Giang,Long Xuyen,202,54
359,AGI - 956-958 Tran Hung Dao,"956-958 Trần Hưng Đạo, khóm Bình Khánh 2, P.Bình Khánh, Tp.Long Xuyên, An Giang.",Mekong2,An Giang,Long Xuyen,205,54
220,AGI - 110 Ton Duc Thang,"110 Tôn Đức Thắng, P.Long Thạnh, TX. Tân Châu, Tỉnh An Giang",Mekong2,An Giang,Tan Chau,209,54
267,AGI - 126 Tran Phu,"Số 126, đường Trần Phú, TT Phú Hòa,huyện Thoại Sơn ,tỉnh An Giang",Mekong2,An Giang,Thoai Son,209,54
626,AGI - 34 Trần Hưng Đạo,"34 đường Trần Hưng Đạo, thị trấn Tri Tôn, huyện Tri Tôn, tỉnh An Giang",Mekong2,An Giang,Tri Ton,255,54
